District,Latitude,Longitude
1. BAGALKOT,16.1772263,75.680838
10. CHIKMAGALUR,13.318014,75.7738743
11. CHITRADURGA,14.2266443,76.4005122
13. DAVANGERE,14.4661266,75.9206361
14. DHARWAD,15.4540505,75.0066516
15. GADAG,15.4221812,75.6376639
16. GULBARGA,17.3310003,76.8334228
17. HASSAN,13.0070817,76.0992703
18. HAVERI,14.7874825,75.3996731
19. KODAGU,12.2335192,76.2818865
20. KOLAR,13.1367201,78.1337246
21. KOPPAL,15.3484144,76.1547421
22. MANDYA,12.5238888,76.8961961
23. MYSORE,12.3051828,76.6553609
24. RAICHUR,16.1983225,77.3527444
25. RAMANAGARA,12.7252766,77.2804797
26. SHIMOGA,13.9326093,75.574978
27. TUMKUR,13.3400771,77.1006208
28. UDUPI,13.3419169,74.7473232
3. BELGAUM,15.8572666,74.5069343
30. YADGIR,16.5055083,77.2970403
4. BELLARY,13.0540283,77.5929281
6. BIDAR,17.9166022,77.511315
7. BIJAPUR,16.8269911,75.7175387
8. CHAMARAJANAGAR,13.905354,76.6014182
31. BANGALORE URBAN,12.9716,77.5946
32. BANGALORE RURAL,13.0104,77.3414